ID;Uporabnisko_ime;Geslo;Vrsta
622;csmedmoor3d;QybgeHD18Tv6MQQ82CQ;1
623;ckentish3e;kkfpMR88n;1
624;sweed3f;wvqmTC84J41;1
625;wskett3g;wyolDM778o2e_xKT;1
626;iharkess3h;shyiWS16dLlbn9mo;1
627;jjones3i;dvfcMS5245K;1
628;mcrabb3j;vvbcDF36SNx;1
629;cgaitung3k;eujxHB39L3fES;1
630;amcmeekin3l;rnxwOI41Gc_z2jf;1
631;odiggar3m;qguvEG56qPuX;1
632;charome3n;xbqbBA39qE;1
633;tpeltz3o;pkmpFF76xx;1
634;aramelet3p;hmgeYS56qsNRy;1
635;bhayball3q;limeDE21b770;1
636;pkopisch3r;ulihJV79;1
637;igarnham3s;rlycTD27MEfmXT8;1
638;lbraban3t;amvyPH73j;1
639;gpirnie3u;CZTMVjJ6;1
640;dshowalter3v;xfdbEQ29H;1
641;bfumagallo3w;qtjyCZ25Txh;1
642;tesland3x;lgowBG46zzelL;1
643;eweigh3y;cebdMR51YK;1
644;mlowbridge3z;fdpxHS9940zA;1
645;kkennelly40;pnfjSD76qKa3u;1
646;bbon41;mvmsUX61raUigly6;1
647;arichardes42;agqeCQ74eh90iAA2;1
648;ecorran43;vvblEI43OV;1
649;shaile44;xpxbDZ84a;1
650;tditts45;egkdXJ907Rrsyz;1
651;dwilleman46;fbwoDE88TCfb;1
652;pheine47;zinoRT75e6xRKvU;1
653;emccrossan48;gvykGC06K9co;1
654;sdahl49;uzqgUO94lQuB;1
655;drackley4a;qnaeVZ64aBz;1
656;lchaff4b;newuHX82kFnB;1
657;dcumberbatch4c;xplsWH089YcmK;1
658;acheese4d;ekpsCF6999usiG;1
659;pstack4e;nfudKZ35AFDKoa;1
660;hpampling4f;eccnQE21c;1
661;kheld4g;ybgaHC70tvjNRHg;1
662;ahugill4h;psjjED12CSZc0ed;1
663;sleehane4i;temiIN76lRNZ5;1
664;odring4j;xvtmIK61I;1
665;dpearsall4k;ycrfUV36Jjlr;1
666;lknapper4l;oorkIK777Job5o;1
667;gfeechan4m;njhnNA51_bEU;1
668;adaldan4n;aqvtPA62V15y;1
669;ccurgenuer4o;uzecEV14rs0;1
670;kpincked4p;nsqzPI86Sz8O7o;1
671;wwalkowski4q;ufokZF19w;1
672;kmccracken4r;fhmuWM91Kt8x;1
673;jodhams4s;wrwsER75pXeRJC;1
674;srosenbaum4t;kvcxAC83Uh;1
675;hrenn4u;jlxxRD53oKS6AW;1
676;pbenduhn4v;jvbrPR11XE50uK0;1
677;kmeads4w;bsbrBU01YS;1
678;pgraine4x;hrcdKN20;1
679;hkalewe4y;nkcaXL943yyFNC4i;1
680;gbartolini4z;ighpnZX26iiDaL2kmEi;1
681;ljandera50;dacwNU39LUvR;1
682;htirte51;xvykQH17PgRlW;1
683;gassel52;vhztZS21dXYL;1
684;spodbury53;cmwgFT77FjafvKC;1
685;vcorcut54;vpvlCA852;1
686;rtunmore55;kkmdLJ26;1
687;rkenny56;xzmrVI8682C75b;1
688;pjentle57;paaxUB43Sp;1
689;ltellenbrok58;nailZU99Dc;1
690;nfrancke59;plzuSZ54ACmO;1
691;ecarnock5a;mdumLT40;1
692;bworthing5b;wilzKB25SnhBux;1
693;dweadick5c;ynevVH44_SvHdf3y;1
694;cwinsper5d;tqumIK46oeoV;1
695;dbaseggio5e;qkucHL69E4Pv;1
696;tdennington5f;hxtzBA53hqNi3l;1
697;celgood5g;tiybBQ85Nsw4BwY6;1
698;wstickland5h;rsfyZE60SVFlSS4x;1
699;bstitson5i;QdxrfMJ65QQ_WHzIFQ;1
700;ofinder5j;wgmwUH17;1
701;admin;admin;2
702;ucitelj;ucitelj;1
703;ucenec;ucenec;0
